+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                 ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                             ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_fifo|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_fifo                                                                             ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_dtrace|dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_dtrace                                                                           ; 113   ; 0              ; 102          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_itrace                                                                           ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_dbrk                                                                             ; 98    ; 0              ; 0            ; 0              ; 102    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_xbrk                                                                             ; 53    ; 5              ; 50           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_break                                                                            ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci_debug                                                                            ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_nios2_oci                                                                                                                                  ; 165   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|dnn_accel_system_nios2_gen2_0_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|dnn_accel_system_nios2_gen2_0_cpu_register_bank_b                                                                                                                                ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|dnn_accel_system_nios2_gen2_0_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|dnn_accel_system_nios2_gen2_0_cpu_register_bank_a                                                                                                                                ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu|the_dnn_accel_system_nios2_gen2_0_cpu_test_bench                                                                                                                                 ; 296   ; 3              ; 262          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0|cpu                                                                                                                                                                                  ; 149   ; 1              ; 31           ; 1              ; 120    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|nios2_gen2_0                                                                                                                                                                                      ; 149   ; 0              ; 0            ; 0              ; 119    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                          ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                                                      ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                                                                 ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                                                        ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_r                                                                                                                                             ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                          ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                                                      ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                                                                 ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                                                        ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0|the_dnn_accel_system_jtag_uart_0_scfifo_w                                                                                                                                             ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|jtag_uart_0                                                                                                                                                                                       ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|hex                                                                                                                                                                                               ; 38    ; 25             ; 25           ; 25             ; 39     ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|controller|controller_translator                                                                                                                                                 ; 15    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|controller                                                                                                                                                                       ; 10    ; 7              ; 0            ; 7              ; 50     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|mypll|altpll_component|auto_generated                                                                                                                                            ; 2     ; 5              ; 1            ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|mypll                                                                                                                                                                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|VideoMemory|auto_generated|mux3                                                                                                                                                  ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|VideoMemory|auto_generated|wren_decode_a                                                                                                                                         ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|VideoMemory|auto_generated|rden_decode_b                                                                                                                                         ; 2     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|VideoMemory|auto_generated|decode2                                                                                                                                               ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|VideoMemory|auto_generated                                                                                                                                                       ; 41    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga|user_input_translator                                                                                                                                                            ; 15    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0|vga                                                                                                                                                                                  ; 26    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys|vga_avalon_0                                                                                                                                                                                      ; 40    ; 32             ; 10           ; 32             ; 59     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys                                                                                                                                                                                                   ; 2     ; 0              ; 0            ; 0              ; 58     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
